model,optimizer,n,bins,bin_type,reps,usable,convergence_rate,classical_conv_rate,symbolic_conv_rate,median_time_classical,median_time_symbolic,speedup,mse_class,mse_symbolic,rmse_class,rmse_symbolic,relative_rmse,rmse_mean_ratio,rmse_sd_ratio,boundary_hit_rate
normal,CG,365,50,EW,500,500,1,1,1,0.006200000000000117,0.002000000000000076,3.0999999999999406,0.10643130547392633,0.10648956944914788,0.32623811162083183,0.32632739610573286,1.0002736788919524,1.0000000000001632,1.0008028282121797,0
normal,CG,365,50,QU,500,500,1,1,1,0.006200000000000117,0.01511666666666655,0.4101433296582248,0.10643130547392633,0.11041690612264896,0.32623811162083183,0.3322903942677985,1.0185517339372074,1.001713511445064,1.050355231791451,0
normal,CG,1095,50,EW,500,500,1,1,1,0.015633333333333135,0.002000000000000076,7.81666666666627,0.032434850185050434,0.03245476566599252,0.18009678005186666,0.18015206261931202,1.0003069603322694,1.0000000000002027,1.000923198709843,0
normal,CG,1095,50,QU,500,500,1,1,1,0.015633333333333135,0.02221666666666664,0.7036759189797368,0.032434850185050434,0.03335709235551118,0.18009678005186666,0.1826392410067212,1.014117192734497,1.0011420460839566,1.0396883714981353,0
normal,CG,3650,50,EW,500,500,1,1,1,0.05136666666666562,0.002433333333333583,21.10958904109329,0.010387584410775195,0.01039202360428535,0.10191949965916824,0.10194127527299895,1.0002136550307208,0.9999999999993957,1.0005943754304225,0
normal,CG,3650,50,QU,500,500,1,1,1,0.05136666666666562,0.02044999999999959,2.5118174409127945,0.010387584410775195,0.010655168383332343,0.10191949965916824,0.10322387506450406,1.0127980946697914,1.004171964574407,1.0279944226822506,0
normal,Nelder-Mead,365,50,EW,500,500,1,1,1,0.0010333333333332935,0.0013333333333333049,0.7749999999999866,0.10650270135585935,0.10669637604893846,0.3263475162397584,0.32664411222144885,1.0009088348062456,1.0013690378189057,1.0000165460316077,0
normal,Nelder-Mead,365,50,QU,500,500,1,1,1,0.0010333333333332935,0.0015333333333333126,0.673913043478244,0.10650270135585935,0.11041146511292388,0.3263475162397584,0.33228220703631406,1.0181851875722432,1.001111313947301,1.0504779279919685,0
normal,Nelder-Mead,1095,50,EW,500,500,1,1,1,0.002499999999999621,0.001333333333333068,1.8750000000000888,0.03241906382670829,0.03253843182589743,0.18005294728692528,0.18038412298730017,1.0018393239620074,1.0022258120567866,1.0010626264971116,0
normal,Nelder-Mead,1095,50,QU,500,500,1,1,1,0.002499999999999621,0.0015000000000005306,1.6666666666658243,0.03241906382670829,0.033358028425026325,0.18005294728692528,0.18264180360757043,1.0143783057131504,1.0015306560582744,1.0397027916515618,0
normal,Nelder-Mead,3650,50,EW,500,500,1,1,1,0.0074999999999988635,0.0012999999999995756,5.769230769231778,0.010385006344621224,0.010413595416906505,0.10190685131344812,0.10204702551719234,1.0013755130488045,1.0009560927293004,1.0021237091683637,0
normal,Nelder-Mead,3650,50,QU,500,500,1,1,1,0.0074999999999988635,0.0014999999999986357,5.00000000000379,0.010385006344621224,0.010657934152098422,0.10190685131344812,0.10323727113837532,1.0130552539675182,1.0040998618703123,1.0288462048406037,0
shifted_gamma,CG,365,50,EW,500,497,0.994,1,0.994,0.1871666666666594,0.17353333333332255,1.0785631963119728,0.12582845329293138,0.12519383617848662,0.354723065634209,0.3538274101571084,0.997475057125199,0.9984364106276854,0.9962962371741585,0
shifted_gamma,CG,365,50,QU,500,500,1,1,1,0.18748333333332995,0.15583333333333937,1.2031016042780065,0.1255697338552389,0.13197138282006957,0.35435819992662637,0.36327865725923064,1.0251735597890816,1.012135282655213,1.0408428604768363,0
shifted_gamma,CG,1095,50,EW,500,485,0.97,1,0.97,0.6871333333333496,0.2464000000000245,2.788690476190265,0.040543360121642044,0.04046310186937872,0.2013538182445072,0.20115442294262068,0.9990097267405955,1.0007978766607666,0.9969209663939826,0
shifted_gamma,CG,1095,50,QU,500,500,1,1,1,0.6888666666666723,0.1908499999999852,3.6094664221468467,0.04000270520150681,0.0424930989450344,0.20000676288942534,0.2061385430845828,1.030657864297056,1.0103241226288626,1.053962599085341,0
shifted_gamma,CG,3650,50,EW,500,433,0.866,1,0.866,2.8926333333333485,0.5120000000000194,5.649674479166482,0.011780653609769993,0.011718838226794122,0.10853871940358424,0.10825358297439454,0.9973729519681408,0.9990650707341114,0.9955147469308786,0
shifted_gamma,CG,3650,50,QU,500,500,1,1,1,2.9603166666666465,0.1757166666666914,16.847102342784197,0.011976377458333411,0.012487778687284125,0.10943663672798708,0.111748730137233,1.0211272337891084,1.0040798283548809,1.0392904810001897,0
