study,replicate,model,optimizer,n,bins,bin_type,truth_mean,truth_sd,class_mean,class_sd,sym_mean,sym_sd,time_classical,time_symbolic,class_loglik,sym_loglik,class_conv,sym_conv,paired_conv,class_boundary_hit,sym_boundary_hit
shifted_lognormal_sensitivity,5,shifted_lognormal,L-BFGS-B,365,10,QU,25,5.000000000000001,24.871036637388297,4.960861158940048,24.834279807185002,4.838054198874327,0.00296666666666674,0.004300000000000044,-1031.7919548384782,-872.0660726189972,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,5,shifted_lognormal,BFGS,365,50,EW,25,5.000000000000001,24.871477305919026,4.962344986574951,24.875688930917082,4.969661402646816,0.002199999999999965,0.004433333333333304,-1031.7919978951452,-1127.322186390486,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,5,shifted_lognormal,L-BFGS-B,365,50,EW,25,5.000000000000001,24.871036637388297,4.960861158940048,24.875634402579976,4.969570386705063,0.00296666666666674,0.0056333333333333496,-1031.7919548384782,-1127.3221864253335,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,5,shifted_lognormal,BFGS,365,50,QU,25,5.000000000000001,24.871477305919026,4.962344986574951,24.850488309037107,4.888286519640863,0.002199999999999965,0.005599999999999976,-1031.7919978951452,-1589.5121199730595,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,5,shifted_lognormal,L-BFGS-B,365,50,QU,25,5.000000000000001,24.871036637388297,4.960861158940048,24.85051438041534,4.888301850236764,0.00296666666666674,0.005366666666666712,-1031.7919548384782,-1589.5121199848265,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,5,shifted_lognormal,BFGS,365,100,EW,25,5.000000000000001,24.871477305919026,4.962344986574951,24.867738351616122,4.947862102318844,0.002199999999999965,0.006133333333333368,-1031.7919978951452,-1380.8366186359317,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,5,shifted_lognormal,L-BFGS-B,365,100,EW,25,5.000000000000001,24.871036637388297,4.960861158940048,24.86774826536366,4.947830616031513,0.00296666666666674,0.005833333333333357,-1031.7919548384782,-1380.8366187034217,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,5,shifted_lognormal,BFGS,365,100,QU,25,5.000000000000001,24.871477305919026,4.962344986574951,24.87280669645557,4.949677356997324,0.002199999999999965,0.00736666666666667,-1031.7919978951452,-2007.5418836207741,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,5,shifted_lognormal,L-BFGS-B,365,100,QU,25,5.000000000000001,24.871036637388297,4.960861158940048,24.872812669896668,4.949675014807399,0.00296666666666674,0.007233333333333291,-1031.7919548384782,-2007.5418836207607,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,6,shifted_lognormal,BFGS,365,10,EW,25,5.000000000000001,25.098395645970683,4.959992491762346,25.19439209158717,5.022119779244834,0.0042333333333332964,0.0074666666666666735,-1047.6292278024205,-524.938905665811,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,6,shifted_lognormal,L-BFGS-B,365,10,EW,25,5.000000000000001,25.098377678577492,4.96001873169241,25.194744255058204,5.027877184653538,0.003999999999999915,0.007266666666666666,-1047.629227797218,-524.9368165486878,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,6,shifted_lognormal,BFGS,365,10,QU,25,5.000000000000001,25.098395645970683,4.959992491762346,25.099472108198174,4.818960608935329,0.0042333333333332964,0.0038666666666666554,-1047.6292278024205,-871.2743244651361,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,6,shifted_lognormal,L-BFGS-B,365,10,QU,25,5.000000000000001,25.098377678577492,4.96001873169241,25.09948378368795,4.818962084650801,0.003999999999999915,0.004100000000000037,-1047.629227797218,-871.2743244651333,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,6,shifted_lognormal,BFGS,365,50,EW,25,5.000000000000001,25.098395645970683,4.959992491762346,25.11983780620843,4.945652768917792,0.0042333333333332964,0.006900000000000025,-1047.6292278024205,-1099.8907304464235,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,6,shifted_lognormal,L-BFGS-B,365,50,EW,25,5.000000000000001,25.098377678577492,4.96001873169241,25.119738647531,4.945613179539023,0.003999999999999915,0.006700000000000017,-1047.629227797218,-1099.8907305428409,TRUE,TRUE,TRUE,FALSE,FALSE
shifted_lognormal_sensitivity,6,shifted_lognormal,BFGS,365,50,QU,25,5.000000000000001,25.098395645970683,4.959992491762346,25.040588417033675,4.708685183919905,0.0042333333333332964,0.00606666666666662,-1047.6292278024205,-1592.2636533333537,TRUE,TRUE,TRUE,FALSE,FALSE
