model,optimizer,n,bins,bin_type,reps,usable,convergence_rate,classical_conv_rate,symbolic_conv_rate,median_time_classical,median_time_symbolic,speedup,mse_class,mse_symbolic,rmse_class,rmse_symbolic,relative_rmse,rmse_mean_ratio,rmse_sd_ratio,boundary_hit_rate
logistic,L-BFGS-B,3650,50,EW,1000,1000,1,1,1,0.007433333333339457,9.000000000014552e-4,8.259259259252708,0.011732683106481396,0.011776401900649288,0.10831751061800393,0.10851913149601451,1.0018613876635478,1.0014043480356734,1.0024180604706434,0
logistic,L-BFGS-B,3650,50,QU,1000,1000,1,1,1,0.007433333333339457,0.001149999999999333,6.463768115951103,0.011732683106481396,0.012066107672995773,0.10831751061800393,0.10984583593835395,1.0141096791426445,1.0002808659782243,1.0307108699993053,0
logistic,L-BFGS-B,3650,100,EW,1000,1000,1,1,1,0.007433333333339457,0.001100000000004305,6.757575757554878,0.011732683106481396,0.011715974536325658,0.10831751061800393,0.10824035539633847,0.9992876939173984,0.9976552943236533,1.0012733598931165,0
logistic,L-BFGS-B,3650,100,QU,1000,1000,1,1,1,0.007433333333339457,0.001433333333329756,5.186046511645123,0.011732683106481396,0.011926249974789003,0.10831751061800393,0.10920737143063651,1.0082152997013638,1.001084719731995,1.0168371252743116,0
normal,BFGS,365,10,EW,1000,1000,1,1,1,5.333333333330377e-4,6.999999999998489e-4,0.7619047619045041,0.10294539364513271,0.10913313416727999,0.32085104588443014,0.3303530447374142,1.029614984818864,1.0215501272939986,1.0458489553207857,0
normal,BFGS,365,10,QU,1000,1000,1,1,1,5.333333333330377e-4,8.333333333335228e-4,0.6399999999994997,0.10294539364513271,0.12024200842917636,0.32085104588443014,0.3467592946543414,1.0807485252182827,1.023427271838465,1.18898305216117,0
normal,BFGS,365,50,EW,1000,1000,1,1,1,5.333333333330377e-4,8.666666666670153e-4,0.6153846153840267,0.10294539364513271,0.10337646691975283,0.32085104588443014,0.3215221095348698,1.0020915114943443,1.0010429906266438,1.0042237247670833,0
normal,BFGS,365,50,QU,1000,1000,1,1,1,5.333333333330377e-4,0.001066666666667023,0.4999999999995558,0.10294539364513271,0.10848614925454331,0.32085104588443014,0.32937235654277863,1.0265584630863813,1.0078989772929101,1.0635516492784785,0
normal,BFGS,365,100,EW,1000,1000,1,1,1,5.333333333330377e-4,0.001066666666667023,0.4999999999995558,0.10294539364513271,0.10303464115230691,0.32085104588443014,0.3209900950999998,1.000433376226611,0.9997586236171101,1.0018062886098562,0
normal,BFGS,365,100,QU,1000,1000,1,1,1,5.333333333330377e-4,0.0014000000000000531,0.38095238095215533,0.10294539364513271,0.10644999369592915,0.32085104588443014,0.326266752360594,1.0168791922159248,1.0028317619213383,1.0449067436344073,0
normal,BFGS,1095,10,EW,1000,1000,1,1,1,0.0012666666666651357,7.000000000005002e-4,1.8095238095203292,0.03409403140693949,0.03582038509686584,0.18464569154718855,0.18926274091026432,1.0250049125131946,1.0147757896783705,1.045108330470747,0
normal,BFGS,1095,10,QU,1000,1000,1,1,1,0.0012666666666651357,8.333333333344702e-4,1.5199999999960891,0.03409403140693949,0.04048431465605914,0.18464569154718855,0.2012071436506645,1.0896931413059452,1.0204036614866037,1.216160949183727,0
normal,BFGS,1095,50,EW,1000,1000,1,1,1,0.0012666666666651357,9.000000000014552e-4,1.4074074074034306,0.03409403140693949,0.03408440330473455,0.18464569154718855,0.18461961787614703,0.9998587907964545,0.9990531322255108,1.0014637711910335,0
normal,BFGS,1095,50,QU,1000,1000,1,1,1,0.0012666666666651357,0.0011333333333330604,1.1176470588224476,0.03409403140693949,0.03535723260552993,0.18464569154718855,0.1880351898064028,1.018356768743494,1.003675568203961,1.047024385551478,0
normal,BFGS,1095,100,EW,1000,1000,1,1,1,0.0012666666666651357,8.666666666670153e-4,1.4615384615361071,0.03409403140693949,0.034151863275654386,0.18464569154718855,0.18480222746399563,1.0008477637116548,1.0005656529948301,1.0014102066819863,0
normal,BFGS,1095,100,QU,1000,1000,1,1,1,0.0012666666666651357,0.0015000000000005306,0.844444444443125,0.03409403140693949,0.035085937291846066,0.18464569154718855,0.18731240560049958,1.014442330232382,1.0029124833631047,1.0370562960204632,0
