model,optimizer,n,bins,bin_type,reps,usable,convergence_rate,classical_conv_rate,symbolic_conv_rate,median_time_classical,median_time_symbolic,speedup,mse_class,mse_symbolic,rmse_class,rmse_symbolic,relative_rmse,rmse_mean_ratio,rmse_sd_ratio,boundary_hit_rate
shifted_lognormal,BFGS,1095,100,QU,500,499,0.998,1,0.998,0.00910000000000082,0.007500000000000758,1.21333333333332,0.05560704838607768,0.05742024392119926,0.23581146788499852,0.23962521553709504,1.016172867614549,1.0028146625361682,1.0243783610944364,0
shifted_lognormal,BFGS,3650,10,EW,500,500,1,1,1,0.029366666666667623,0.0034666666666661665,8.471153846155344,0.01745255810025557,0.018792181807983196,0.13210813033366103,0.13708457903055032,1.0376695112126744,1.035208637267981,1.039438861946201,0
shifted_lognormal,BFGS,3650,10,QU,500,500,1,1,1,0.029366666666667623,0.0024833333333333487,11.82550335570501,0.01745255810025557,0.025520681853605485,0.13210813033366103,0.15975193849717595,1.2092513768357471,1.0733672035558195,1.2983663813174642,0
shifted_lognormal,BFGS,3650,50,EW,500,500,1,1,1,0.029366666666667623,0.004383333333331999,6.699619771865376,0.01745255810025557,0.017591505569199806,0.13210813033366103,0.13263297315976824,1.003972827597981,1.0014476734053355,1.0057881713887145,0
shifted_lognormal,BFGS,3650,50,QU,500,496,0.992,1,0.992,0.029366666666665726,0.004050000000000864,7.251028806582584,0.017431882149433534,0.018805452312626966,0.13202985325082178,0.1371329731050376,1.0386512574888744,1.0096701953663876,1.0590862255650209,0
shifted_lognormal,BFGS,3650,100,EW,500,500,1,1,1,0.029366666666667623,0.004933333333334152,5.9527027027019095,0.01745255810025557,0.017461998342942656,0.13210813033366103,0.13214385473014875,1.0002704178493593,1.0008286210275372,0.9998680615838058,0
shifted_lognormal,BFGS,3650,100,QU,500,471,0.942,1,0.942,0.02939999999999827,0.005633333333332757,5.2189349112428305,0.017429557559287476,0.01834633323023921,0.13202104968256947,0.13544863687110037,1.025962429451759,1.0102874836043563,1.037474441841242,0
shifted_lognormal,L-BFGS-B,365,10,EW,500,500,1,1,1,0.002933333333333306,0.004133333333333352,0.709677419354829,0.18372858849006207,0.19508683110908812,0.42863572936709565,0.441686349244674,1.030446878277852,1.0169980486819832,1.0391432293156135,0
shifted_lognormal,L-BFGS-B,365,10,QU,500,500,1,1,1,0.002933333333333306,0.004000000000000152,0.7333333333332986,0.18372858849006207,0.29799096338903786,0.42863572936709565,0.5458854856002656,1.2735417236596112,1.1012003136163613,1.3745591366026537,0
shifted_lognormal,L-BFGS-B,365,50,EW,500,500,1,1,1,0.002933333333333306,0.004966666666666697,0.5906040268456284,0.18372858849006207,0.18278493527432932,0.42863572936709565,0.4275335487120623,0.9974286309341015,1.0001627125287067,0.995637525768558,0
shifted_lognormal,L-BFGS-B,365,50,QU,500,500,1,1,1,0.002933333333333306,0.0056666666666667235,0.5176470588235194,0.18372858849006207,0.19678835486312377,0.42863572936709565,0.44360833497931906,1.0349308389068064,1.0062178807512336,1.0532752557504612,0
shifted_lognormal,L-BFGS-B,365,100,EW,500,500,1,1,1,0.002933333333333306,0.005499999999999972,0.5333333333333311,0.18372858849006207,0.18134815953888822,0.42863572936709565,0.42584992607594546,0.9935007674342418,0.9990020004482575,0.9898885349828062,0
