study,replicate,model,optimizer,n,bins,bin_type,truth_mean,truth_sd,class_mean,class_sd,sym_mean,sym_sd,time_classical,time_symbolic,class_loglik,sym_loglik,class_conv,sym_conv,paired_conv,class_boundary_hit,sym_boundary_hit
optimizer_robustness,15,normal,Nelder-Mead,365,50,QU,25,5,24.417298374626448,4.889559123213,24.423953995791877,4.89836706472677,0.0010666666666666676,0.001566666666666568,-1097.2126791766675,-1588.391499794783,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,15,normal,CG,365,50,QU,25,5,24.41772008288495,4.88966448240359,24.424789363919587,4.898511284368406,0.0064000000000000055,0.024600000000000104,-1097.2126776511,-1588.3914933905705,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,16,normal,Nelder-Mead,365,50,EW,25,5,24.929739069289113,5.086638800484811,24.9286992164268,5.08298945790831,0.0010333333333332935,0.0013000000000000492,-1111.710922118011,-1255.4689975763506,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,16,normal,CG,365,50,EW,25,5,24.930416436010933,5.087796596345639,24.930416436010933,5.094780057334199,0.006466666666666754,0.001366666666666679,-1111.710899988558,-1255.4707755487336,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,16,normal,Nelder-Mead,365,50,QU,25,5,24.929739069289113,5.086638800484811,24.95366148898662,5.015348158111707,0.0010333333333332935,0.0016333333333333163,-1111.710922118011,-1597.0001205754372,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,16,normal,CG,365,50,QU,25,5,24.930416436010933,5.087796596345639,24.95362863951228,5.015087821100669,0.006466666666666754,0.018166666666666723,-1111.710899988558,-1597.0001195190061,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,17,normal,Nelder-Mead,365,50,EW,25,5,24.813824132468856,4.944434398229174,24.812916113312994,4.955020410562021,9.666666666666639e-4,0.001366666666666679,-1101.358749157339,-1358.8268277108443,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,17,normal,CG,365,50,EW,25,5,24.814498349662294,4.945523047061856,24.81449834966232,4.952311229229835,0.007933333333333318,0.005800000000000101,-1101.3587280858178,-1358.8269838410554,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,17,normal,Nelder-Mead,365,50,QU,25,5,24.813824132468856,4.944434398229174,24.816334598543783,4.973102748778791,9.666666666666639e-4,0.0015666666666666865,-1101.358749157339,-1589.3205520753115,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,17,normal,CG,365,50,QU,25,5,24.814498349662294,4.945523047061856,24.815678099840124,4.972638820215103,0.007933333333333318,0.015933333333333265,-1101.3587280858178,-1589.3205451528493,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,18,normal,Nelder-Mead,365,50,EW,25,5,25.211216546461216,5.08887249535185,25.20240325836604,5.082199552098405,0.0010333333333334119,0.0013333333333333049,-1111.7013985252486,-1303.1618912628453,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,18,normal,CG,365,50,EW,25,5,25.211491931749578,5.0876638627020645,25.21149193174958,5.09464713967863,0.006866666666666769,0.0012666666666666753,-1111.701377383727,-1303.1647408076647,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,18,normal,Nelder-Mead,365,50,QU,25,5,25.211216546461216,5.08887249535185,25.254773378526124,5.0863516626681715,0.0010333333333334119,0.0015000000000000568,-1111.7013985252486,-1598.8442401925795,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,18,normal,CG,365,50,QU,25,5,25.211491931749578,5.0876638627020645,25.253728480669416,5.087615663719816,0.006866666666666769,0.019666666666666662,-1111.701377383727,-1598.84420737072,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,19,normal,Nelder-Mead,365,50,EW,25,5,24.730349513137327,4.946756049152763,24.72745975035421,4.952051092077004,0.0010333333333332935,0.0013000000000000492,-1101.528138666195,-1325.9352466363373,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,19,normal,CG,365,50,EW,25,5,24.731021462239262,4.9478187145003405,24.731021462239337,4.954610047284228,0.003133333333333373,0.001366666666666679,-1101.5281184705748,-1325.9354261210794,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,19,normal,Nelder-Mead,365,50,QU,25,5,24.730349513137327,4.946756049152763,24.749203783708815,4.9411753960477895,0.0010333333333332935,0.0015333333333333126,-1101.528138666195,-1592.850313051164,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,19,normal,CG,365,50,QU,25,5,24.731021462239262,4.9478187145003405,24.748765171169225,4.942194641479986,0.003133333333333373,0.028166666666666628,-1101.5281184705748,-1592.8502948957248,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,20,normal,Nelder-Mead,365,50,EW,25,5,25.18768814443372,4.967513445215482,25.19231574710519,4.969618974406029,0.001000000000000038,0.0014000000000000531,-1102.8910474664121,-1276.3673399369864,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,20,normal,CG,365,50,EW,25,5,25.187963272718395,4.966328366681677,25.18796327271838,4.973145112602868,0.007200000000000036,0.002000000000000076,-1102.8910261155384,-1276.367642421197,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,20,normal,Nelder-Mead,365,50,QU,25,5,25.18768814443372,4.967513445215482,25.234111234635456,4.965333139855916,0.001000000000000038,0.0016333333333333163,-1102.8910474664121,-1587.19653290708,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,20,normal,CG,365,50,QU,25,5,25.187963272718395,4.966328366681677,25.2343095133367,4.964936460265732,0.007200000000000036,0.025033333333333255,-1102.8910261155384,-1587.1965300677928,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,21,normal,Nelder-Mead,365,50,EW,25,5,24.906643711219317,5.003131450802875,24.90242194816288,4.9994972807004885,9.666666666665454e-4,0.0014333333333333086,-1105.6684441019092,-1307.0389449892193,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,21,normal,CG,365,50,EW,25,5,24.907320450416616,5.004262812235439,24.90732045041644,5.011131628324223,0.005933333333333243,0.00439999999999993,-1105.6684221150156,-1307.0411940345116,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,21,normal,Nelder-Mead,365,50,QU,25,5,24.906643711219317,5.003131450802875,24.94995816725951,4.9924986386677945,9.666666666665454e-4,0.0014666666666665643,-1105.6684441019092,-1592.1825369702892,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,21,normal,CG,365,50,QU,25,5,24.907320450416616,5.004262812235439,24.949567405078575,4.992561349256479,0.005933333333333243,0.015166666666666847,-1105.6684221150156,-1592.1825356886088,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,22,normal,Nelder-Mead,365,50,EW,25,5,24.96411793145301,4.548988387347669,24.963959453455622,4.554478686452303,9.333333333332897e-4,0.0014000000000000531,-1070.8272147070847,-1313.0884101317124,TRUE,TRUE,TRUE,FALSE,FALSE
optimizer_robustness,22,normal,CG,365,50,EW,25,5,24.962754562021697,4.548669174259491,24.962754562021473,4.554912636786135,0.013133333333333278,0.003933333333333403,-1070.827196511887,-1313.0884233835611,TRUE,TRUE,TRUE,FALSE,FALSE
